,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Puerto Ayora,-0.7393,-90.3518,297.59,97,94,1.34,EC,1618625881
1,Torbay,47.6666,-52.7314,273.25,93,90,5.66,CA,1618626044
2,Mareeba,-17.0,145.4333,303.01,58,90,8.75,AU,1618626119
3,Hasaki,35.7333,140.8333,291.01,63,75,8.23,JP,1618625884
4,Punta Arenas,-53.15,-70.9167,282.09,71,0,8.75,CL,1618625807
5,Ribeira Grande,38.5167,-28.7,290.33,97,86,7.76,PT,1618625868
6,Rameswaram,9.2833,79.3,302.55,73,69,5.97,IN,1618626120
7,Port Alfred,-33.5906,26.891,289.5,63,2,8.72,ZA,1618626072
8,Padang,-0.9492,100.3543,298.15,88,75,1.03,ID,1618626120
9,Busselton,-33.65,115.3333,292.64,59,16,1.79,AU,1618626032
10,Tiksi,71.6872,128.8694,258.0,97,100,4.89,RU,1618626121
11,Rikitea,-23.1203,-134.9692,298.51,69,100,3.98,PF,1618625839
12,Kaitangata,-46.2817,169.8464,288.15,41,71,2.24,NZ,1618625962
13,Yumen,40.2833,97.2,283.25,12,70,4.58,CN,1618626121
14,Qaanaaq,77.484,-69.3632,254.58,89,100,3.28,GL,1618625791
15,Progreso,21.2833,-89.6667,301.15,89,40,4.63,MX,1618626122
16,Port-Gentil,-0.7193,8.7815,300.87,78,100,3.55,GA,1618626056
17,Mayumba,-3.432,10.6554,299.13,87,100,1.99,GA,1618626122
18,Bredasdorp,-34.5322,20.0403,281.15,93,3,1.44,ZA,1618626033
19,Chokurdakh,70.6333,147.9167,260.92,87,8,4.47,RU,1618625877
20,Srednekolymsk,67.45,153.6833,268.9,71,7,4.91,RU,1618626123
21,São Raimundo das Mangabeiras,-7.0219,-45.4811,297.6,74,75,0.93,BR,1618626123
22,Wattegama,6.7989,81.4808,298.15,100,75,1.54,LK,1618626124
23,Kapaa,22.0752,-159.319,294.01,78,90,1.54,US,1618625981
24,Bikin,46.8161,134.26,284.65,42,100,4.92,RU,1618625889
25,Vaini,-21.2,-175.2,300.15,69,20,2.57,TO,1618626014
26,Alofi,-19.0595,-169.9187,302.15,65,4,4.63,NU,1618626093
27,Saint-Philippe,-21.3585,55.7679,295.52,83,0,2.06,RE,1618625840
28,Bluff,-46.6,168.3333,286.48,60,96,2.68,NZ,1618626063
29,Dingle,10.9995,122.6711,303.9,60,96,5.04,PH,1618626055
30,Butaritari,3.0707,172.7902,301.05,74,62,3.99,KI,1618626038
31,Tuktoyaktuk,69.4541,-133.0374,266.15,86,90,1.54,CA,1618626054
32,Tietê,-23.1019,-47.7147,294.42,73,0,3.6,BR,1618626125
33,Grindavik,63.8424,-22.4338,277.15,75,75,11.32,IS,1618625884
34,Villa del Rosario,7.8339,-72.4742,302.15,61,40,3.09,CO,1618626126
35,Port Elizabeth,-33.918,25.5701,289.15,67,0,6.69,ZA,1618626108
36,Saint-Pierre,-21.3393,55.4781,295.97,83,0,2.06,RE,1618625939
37,Inhambane,-23.865,35.3833,293.9,63,94,7.59,MZ,1618626127
38,Tuatapere,-46.1333,167.6833,286.48,60,94,2.68,NZ,1618626112
39,Mount Gambier,-37.8333,140.7667,290.15,63,90,5.14,AU,1618626127
40,Zhangye,38.9342,100.4517,284.54,17,78,1.44,CN,1618626038
41,Fortuna,40.5982,-124.1573,283.47,93,1,4.63,US,1618625944
42,Cho Dok,10.7,105.1167,303.7,60,81,2.66,VN,1618625946
43,Hermanus,-34.4187,19.2345,287.59,79,0,1.34,ZA,1618625956
44,Albany,42.6001,-73.9662,277.56,78,97,2.69,US,1618625730
45,Dikson,73.5069,80.5464,252.67,97,100,2.34,RU,1618626075
